ind,pop
HGDP01073,Sardinian
HGDP01074,Sardinian
HGDP01075,Sardinian
HGDP01076,Sardinian
HGDP01077,Sardinian
HGDP01078,Sardinian
HGDP01079,Sardinian
HGDP00675,Palestinian
HGDP00676,Palestinian
HGDP00677,Palestinian
HGDP00679,Palestinian
HGDP00680,Palestinian
HGDP00683,Palestinian
HGDP00684,Palestinian
HGDP00685,Palestinian
HGDP00686,Palestinian
HGDP00687,Palestinian
HGDP00688,Palestinian
HGDP00689,Palestinian
HGDP00690,Palestinian
HGDP00691,Palestinian
HGDP00694,Palestinian
HGDP00696,Palestinian
HGDP00697,Palestinian
HGDP00698,Palestinian
HGDP00699,Palestinian
HGDP00700,Palestinian
HGDP00722,Palestinian
HGDP00724,Palestinian
HGDP00725,Palestinian
HGDP00726,Palestinian
HGDP00727,Palestinian
HGDP00729,Palestinian
HGDP00730,Palestinian
HGDP00731,Palestinian
HGDP00732,Palestinian
HGDP00733,Palestinian
HGDP00734,Palestinian
HGDP00735,Palestinian
HGDP00736,Palestinian
HGDP00737,Palestinian
HGDP00739,Palestinian
HGDP00740,Palestinian
HGDP00741,Palestinian
HGDP00745,Palestinian
HGDP00702,Piapoco
HGDP00704,Piapoco
HGDP00706,Piapoco
HGDP00970,Piapoco
HGDP00713,Cambodian
HGDP00714,Cambodian
HGDP00715,Cambodian
HGDP00716,Cambodian
HGDP00717,Cambodian
HGDP00719,Cambodian
HGDP00720,Cambodian
HGDP00721,Cambodian
HGDP00747,Japanese
HGDP00748,Japanese
HGDP00749,Japanese
HGDP00750,Japanese
HGDP00751,Japanese
HGDP00752,Japanese
HGDP00753,Japanese
HGDP00754,Japanese
HGDP00755,Japanese
HGDP00756,Japanese
HGDP00757,Japanese
HGDP00758,Japanese
HGDP00759,Japanese
HGDP00760,Japanese
HGDP00761,Japanese
HGDP00762,Japanese
HGDP00763,Japanese
HGDP00764,Japanese
HGDP00765,Japanese
HGDP00766,Japanese
HGDP00767,Japanese
HGDP00768,Japanese
HGDP00769,Japanese
HGDP00771,Japanese
HGDP00772,Japanese
HGDP00773,Japanese
HGDP00790,Japanese
HGDP00791,Japanese
HGDP00828,Japanese
HGDP00774,Han
HGDP00775,Han
HGDP00776,Han
HGDP00777,Han
HGDP00779,Han
HGDP00780,Han
HGDP00781,Han
HGDP00782,Han
HGDP00783,Han
HGDP00784,Han
HGDP00785,Han
HGDP00786,Han
HGDP00811,Han
HGDP00812,Han
HGDP00813,Han
HGDP00814,Han
HGDP00815,Han
HGDP00817,Han
HGDP00818,Han
HGDP00819,Han
HGDP00820,Han
HGDP00821,Han
HGDP00822,Han
HGDP00971,Han
HGDP00972,Han
HGDP00973,Han
HGDP00974,Han
HGDP00975,Han
HGDP00976,Han
HGDP00977,Han
HGDP01021,Han
HGDP01023,Han
HGDP01024,Han
HGDP00794,Orcadian
HGDP00796,Orcadian
HGDP00797,Orcadian
HGDP00798,Orcadian
HGDP00799,Orcadian
HGDP00800,Orcadian
HGDP00802,Orcadian
HGDP00803,Orcadian
HGDP00805,Orcadian
HGDP00806,Orcadian
HGDP00807,Orcadian
HGDP00808,Orcadian
HGDP00810,Orcadian
HGDP00832,Surui
HGDP00837,Surui
HGDP00838,Surui
HGDP00843,Surui
HGDP00845,Surui
HGDP00846,Surui
HGDP00849,Surui
HGDP00852,Surui
HGDP00854,Mayan
HGDP00855,Mayan
HGDP00856,Mayan
HGDP00857,Mayan
HGDP00858,Mayan
HGDP00859,Mayan
HGDP00861,Mayan
HGDP00862,Mayan
HGDP00863,Mayan
HGDP00864,Mayan
HGDP00865,Mayan
HGDP00868,Mayan
HGDP00869,Mayan
HGDP00870,Mayan
HGDP00872,Mayan
HGDP00873,Mayan
HGDP00875,Mayan
HGDP00877,Mayan
HGDP00879,Russian
HGDP00880,Russian
HGDP00882,Russian
HGDP00883,Russian
HGDP00884,Russian
HGDP00887,Russian
HGDP00888,Russian
HGDP00889,Russian
HGDP00890,Russian
HGDP00891,Russian
HGDP00892,Russian
HGDP00893,Russian
HGDP00894,Russian
HGDP00895,Russian
HGDP00896,Russian
HGDP00897,Russian
HGDP00898,Russian
HGDP00899,Russian
HGDP00900,Russian
HGDP00901,Russian
HGDP00902,Russian
HGDP00903,Russian
HGDP00904,Mandenka
HGDP00905,Mandenka
HGDP00906,Mandenka
HGDP00907,Mandenka
HGDP00908,Mandenka
HGDP00909,Mandenka
HGDP00910,Mandenka
HGDP00912,Mandenka
HGDP00913,Mandenka
HGDP00915,Mandenka
HGDP00917,Mandenka
HGDP01199,Mandenka
HGDP01200,Mandenka
HGDP01202,Mandenka
HGDP01283,Mandenka
HGDP01284,Mandenka
HGDP01286,Mandenka
HGDP00920,Yoruba
HGDP00924,Yoruba
HGDP00925,Yoruba
HGDP00926,Yoruba
HGDP00928,Yoruba
HGDP00929,Yoruba
HGDP00930,Yoruba
HGDP00931,Yoruba
HGDP00932,Yoruba
HGDP00933,Yoruba
HGDP00934,Yoruba
HGDP00935,Yoruba
HGDP00936,Yoruba
HGDP00937,Yoruba
HGDP00938,Yoruba
HGDP00939,Yoruba
HGDP00940,Yoruba
HGDP00941,Yoruba
HGDP00942,Yoruba
HGDP00943,Yoruba
HGDP00944,Yoruba
NA18501,Yoruba
NA18504,Yoruba
NA18505,Yoruba
NA18507,Yoruba
NA18508,Yoruba
NA18516,Yoruba
NA18517,Yoruba
NA18522,Yoruba
NA18852,Yoruba
NA18853,Yoruba
NA18855,Yoruba
NA18856,Yoruba
NA18858,Yoruba
NA18859,Yoruba
NA18861,Yoruba
NA18862,Yoruba
NA18870,Yoruba
NA18871,Yoruba
NA19093,Yoruba
NA19098,Yoruba
NA19099,Yoruba
NA19101,Yoruba
NA19102,Yoruba
NA19116,Yoruba
NA19119,Yoruba
NA19127,Yoruba
NA19128,Yoruba
NA19130,Yoruba
NA19131,Yoruba
NA19137,Yoruba
NA19138,Yoruba
NA19141,Yoruba
NA19143,Yoruba
NA19144,Yoruba
NA19159,Yoruba
NA19160,Yoruba
NA19171,Yoruba
NA19193,Yoruba
NA19201,Yoruba
NA19203,Yoruba
NA19204,Yoruba
NA19206,Yoruba
NA19207,Yoruba
NA19209,Yoruba
NA19210,Yoruba
NA19222,Yoruba
NA19223,Yoruba
NA19238,Yoruba
NA19239,Yoruba
HGDP00945,Yakut
HGDP00946,Yakut
HGDP00947,Yakut
HGDP00948,Yakut
HGDP00950,Yakut
HGDP00951,Yakut
HGDP00952,Yakut
HGDP00954,Yakut
HGDP00955,Yakut
HGDP00956,Yakut
HGDP00958,Yakut
HGDP00960,Yakut
HGDP00961,Yakut
HGDP00962,Yakut
HGDP00963,Yakut
HGDP00964,Yakut
HGDP00965,Yakut
HGDP00966,Yakut
HGDP00967,Yakut
HGDP00968,Yakut
HGDP00987,Ju_hoan_North
HGDP00991,Ju_hoan_North
HGDP00992,Ju_hoan_North
HGDP01032,Ju_hoan_North
HGDP01036,Ju_hoan_North
HGDP00993,Bantu_SA_Pedi
HGDP00994,Bantu_SA_S_Sotho
HGDP00995,Karitiana
HGDP00999,Karitiana
HGDP01001,Karitiana
HGDP01003,Karitiana
HGDP01006,Karitiana
HGDP01010,Karitiana
HGDP01012,Karitiana
HGDP01013,Karitiana
HGDP01014,Karitiana
HGDP01015,Karitiana
HGDP01018,Karitiana
HGDP01019,Karitiana
HGDP01028,Bantu_SA_Herero
HGDP01035,Bantu_SA_Herero
HGDP01030,Bantu_SA_Tswana
HGDP01034,Bantu_SA_Tswana
HGDP01031,Bantu_SA_Ovambo
HGDP01033,Bantu_SA_Zulu
HGDP01037,Pima
HGDP01041,Pima
HGDP01043,Pima
HGDP01044,Pima
HGDP01047,Pima
HGDP01050,Pima
HGDP01051,Pima
HGDP01053,Pima
HGDP01055,Pima
HGDP01056,Pima
HGDP01057,Pima
HGDP01058,Pima
HGDP01059,Pima
HGDP01060,Pima
HGDP01095,Tujia
HGDP01096,Tujia
HGDP01097,Tujia
HGDP01098,Tujia
HGDP01099,Tujia
HGDP01100,Tujia
HGDP01101,Tujia
HGDP01102,Tujia
HGDP01103,Tujia
HGDP01104,Tujia
HGDP01147,Italian_Bergamo
HGDP01151,Italian_Bergamo
HGDP01152,Italian_Bergamo
HGDP01153,Italian_Bergamo
HGDP01155,Italian_Bergamo
HGDP01156,Italian_Bergamo
HGDP01157,Italian_Bergamo
HGDP01171,Italian_Bergamo
HGDP01172,Italian_Bergamo
HGDP01173,Italian_Bergamo
HGDP01174,Italian_Bergamo
HGDP01177,Italian_Bergamo
HGDP01161,Italian_Tuscan
HGDP01162,Italian_Tuscan
HGDP01163,Italian_Tuscan
HGDP01164,Italian_Tuscan
HGDP01166,Italian_Tuscan
HGDP01167,Italian_Tuscan
HGDP01168,Italian_Tuscan
HGDP01169,Italian_Tuscan
HGDP01179,Yi
HGDP01180,Yi
HGDP01181,Yi
HGDP01182,Yi
HGDP01183,Yi
HGDP01184,Yi
HGDP01185,Yi
HGDP01186,Yi
HGDP01187,Yi
HGDP01188,Yi
HGDP01189,Miao
HGDP01190,Miao
HGDP01191,Miao
HGDP01192,Miao
HGDP01193,Miao
HGDP01194,Miao
HGDP01195,Miao
HGDP01196,Miao
HGDP01197,Miao
HGDP01198,Miao
HGDP01203,Oroqen
HGDP01204,Oroqen
HGDP01205,Oroqen
HGDP01206,Oroqen
HGDP01207,Oroqen
HGDP01208,Oroqen
HGDP01209,Oroqen
HGDP01211,Oroqen
HGDP01212,Oroqen
HGDP01213,Daur
HGDP01214,Daur
HGDP01215,Daur
HGDP01216,Daur
HGDP01217,Daur
HGDP01218,Daur
HGDP01220,Daur
HGDP01221,Daur
HGDP01222,Daur
HGDP01223,Mongola
HGDP01225,Mongola
HGDP01227,Mongola
HGDP01228,Mongola
HGDP01231,Mongola
HGDP01232,Mongola
HGDP01233,Hezhen
HGDP01234,Hezhen
HGDP01237,Hezhen
HGDP01238,Hezhen
HGDP01239,Hezhen
HGDP01240,Hezhen
HGDP01241,Hezhen
HGDP01242,Hezhen
HGDP01244,Xibo
HGDP01245,Xibo
HGDP01246,Xibo
HGDP01248,Xibo
HGDP01249,Xibo
HGDP01250,Xibo
HGDP01251,Xibo
HGDP01253,Mozabite
HGDP01254,Mozabite
HGDP01255,Mozabite
HGDP01256,Mozabite
HGDP01257,Mozabite
HGDP01258,Mozabite
HGDP01259,Mozabite
HGDP01262,Mozabite
HGDP01263,Mozabite
HGDP01264,Mozabite
HGDP01265,Mozabite
HGDP01268,Mozabite
HGDP01272,Mozabite
HGDP01274,Mozabite
HGDP01275,Mozabite
HGDP01276,Mozabite
HGDP01277,Mozabite
HGDP01278,Mozabite
HGDP01279,Mozabite
HGDP01280,Mozabite
HGDP01282,Mozabite
HGDP01287,Han_NChina
HGDP01288,Han_NChina
HGDP01289,Han_NChina
HGDP01290,Han_NChina
HGDP01291,Han_NChina
HGDP01292,Han_NChina
HGDP01293,Han_NChina
HGDP01294,Han_NChina
HGDP01295,Han_NChina
HGDP01296,Han_NChina
HGDP01297,Uygur
HGDP01298,Uygur
HGDP01299,Uygur
